Text,Language,target
i wasn't listening another phrase that i use all the time.,English,0
هذا لطف كبير منك.,Arabic,0
colour versus color)[132] or points of view.,English,0
"Toutefois, les études ne concluent pas sur le fait de savoir si ce biais provient des contributeurs eux-mêmes, ou des sources qui leur sont disponibles[75].",French,0
"ಆ ಕ್ಷಣದಲ್ಲಿ ನಾರ್ಸಿಸಸ್ ತನ್ನ ನಿದ್ರೆಯಲ್ಲಿ ನಗಲು ಪ್ರಾರಂಭಿಸಿದಳು, ಮರುದಿನ ಬೆಳಿಗ್ಗೆ ನಾರ್ಸಿಸಸ್ ಬಂದಾಗ ಅವಳು ನಿಜವಾಗಿಯೂ ತಮಾಷೆಯ ಕನಸನ್ನು ಹೊಂದಿರಬೇಕು ಎಂದು ತಾಯಿ ತುಂಬಾ ಆಶ್ಚರ್ಯಪಟ್ಟರು.",Kannada,0
"kommentera och säg att detta är en grym handling smart ord nummer 5 är häpnadsväckande, häpnadsväckande, häpnadsväckande, betyder fantastiskt häpnadsväckande.",Sweedish,0
foi um prazer te ver mais tarde.,Portugeese,0
"ഇല്ല, നിങ്ങൾ ഒരു അത്ഭുതകരമായ ജോലി ചെയ്തു.",Malayalam,0
"O processo de atualização da Wikipédia não é apenas diário: ocorre a qualquer instante, muitas vezes em tempo real, no tocante a eventos mais importantes.",Portugeese,0
La revista es leída por científicos e investigadores de todo el mundo siendo la mayor parte de los artículos exposiciones de trabajos de investigación muy técnicos.,Spanish,0
I denna dump har man försökt hitta redigeringskrig genom att studera artiklar med minst 250 redigeringar på dess diskussionssidor.,Sweedish,0
ಅದನ್ನು ಉಲ್ಲೇಖಿಸಬೇಡಿ.,Kannada,0
നിങ്ങൾ അതിനെക്കുറിച്ച് എന്താണ് വിചാരിക്കുന്നത്?,Malayalam,0
i'm really sorry about that.,English,0
hartstikke bedankt.,Dutch,0
vad säger du att vi går på bio?,Sweedish,0
50 Sätze in Englisch.,German,0
ನೀವು ಏನನ್ನಾದರೂ ಹಿಡಿಯದಿದ್ದರೆ ಅಥವಾ ನೀವು ಯಾವಾಗಲೂ ಕೇಳಬಹುದಾದ ವ್ಯಕ್ತಿಯನ್ನು ನಾನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳದಿದ್ದರೆ ಏನು ನಡೆಯುತ್ತಿದೆ?,Kannada,0
Åh gud.,Danish,0
Another category of plant has historically been carved out for weeds.,English,0
"La culture est la configuration particulière de croyances coutumières, traits matériels, organisations sociales… elle est une totalité singulière, une sphère autonome incommensurables avec d’autres totalités.",French,0
طفلي العزيز ، أنت جميلة ورائعة لكنك لا تهتم بأي شيء سوى جمالك.,Arabic,0
"Outras razões pelas quais esta mensagem pode aparecer: 
.estamos todos procurando maneiras rápidas de nos tornarmos mais fluentes em inglês, eu sei que entendo o que acontece é que existem apenas algumas palavras circulando em nosso cérebro e precisamos fazer toda essa conversa usando apenas incrível incrível legal ou épico, então que tal nós aprenda algumas palavras novas e inteligentes em inglês que você pode usar em sua vida diária e elevar seu vocabulário em minutos.",Portugeese,0
GNE).,English,0
Birinden beklemesini istemek.,Turkish,0
"ஒவ்வொரு கட்டுரையிலும் காணப்படும் ""வரலாற்றைக் காட்டவும்"" பக்கம், திருத்தங்களைப் (திருத்தங்கள், அவதூறான தகவல்கள், குற்ற அச்சுறுத்தல் அல்லது காப்புரிமை மீறல் போன்றன மீளமைக்கப்படக் கூடியனவாய் இருப்பினும்) பதிவு செய்யும்.",Tamil,0
"Jeg skruede op Jeg skruede det op, hvis du vil have nogen til at arbejde i stedet for mig, kan du sige.",Danish,0
"Статьи, доступные более чем на одном языке, могут иметь «интервики»-ссылки, которые связывают статьи с их копиями в других разделах.",Russian,0
"ήταν πολύ φοβισμένος, μην ανησυχείτε, αγαπητέ μου, όλα αυτά σύντομα θα τελειώσουν ακριβώς όπως είπε ότι η μεταφορά περνούσε από μια άλλη πύλη και έφτασε στο δρόμο.",Greek,0
